Yıl,Ay,Gün,Tarih,İşlem Türü,Tutar,Harcama Kategorisi,Açıklama,Şehir
2024,Ocak,31,2024-01-31,Fatura Ödemesi,98.55,Fatura Ödemesi,İnternet,İstanbul
2024,Ocak,24,2024-01-24,Restoran,458.78,ATM,ATM Çekimi,İzmir
2024,Ocak,27,2024-01-27,Fatura Ödemesi,78.1,Ulaşım,Tren,İstanbul
2024,Ocak,20,2024-01-20,Restoran,220.2,Market,Migros,İstanbul
2024,Ocak,2,2024-01-02,Ulaşım,94.33,Fatura Ödemesi,Su,İstanbul
2024,Ocak,24,2024-01-24,Alışveriş,105.36,ATM,ATM Çekimi,İzmir
2024,Ocak,24,2024-01-24,Fatura Ödemesi,12.98,Ulaşım,Tren,İzmir
2024,Ocak,22,2024-01-22,ATM Çekimi,366.25,Market,Carrefour,Ankara
2024,Ocak,29,2024-01-29,Restoran,138.76,Ulaşım,Taksi,İstanbul
2024,Ocak,27,2024-01-27,Fatura Ödemesi,271.11,Restoran,Cafe,İstanbul
2024,Ocak,2,2024-01-02,Ulaşım,50.81,Fatura Ödemesi,Su,İstanbul
2024,Ocak,19,2024-01-19,Alışveriş,473.38,ATM,ATM Çekimi,İstanbul
2024,Ocak,9,2024-01-09,Restoran,442.74,Ulaşım,Tren,İstanbul
2024,Ocak,17,2024-01-17,Fatura Ödemesi,69.93,Restoran,Pizza,İzmir
2024,Ocak,14,2024-01-14,Fatura Ödemesi,221.76,Ulaşım,Otobüs,Ankara
2024,Ocak,15,2024-01-15,ATM Çekimi,364.37,Fatura Ödemesi,İnternet,İstanbul
2024,Ocak,21,2024-01-21,Restoran,259.29,Restoran,Pizza,Ankara
2024,Ocak,15,2024-01-15,Restoran,297.53,Market,Carrefour,Ankara
2024,Ocak,15,2024-01-15,Fatura Ödemesi,383.93,ATM,ATM Çekimi,İzmir
2024,Ocak,7,2024-01-07,Restoran,57.3,Market,Carrefour,İstanbul
2024,Ocak,11,2024-01-11,ATM Çekimi,465.77,Restoran,Kebapçı,İstanbul
2024,Ocak,10,2024-01-10,Alışveriş,499.1,Ulaşım,Tren,Ankara
2024,Ocak,17,2024-01-17,Ulaşım,379.22,Restoran,Cafe,Ankara
2024,Ocak,27,2024-01-27,Fatura Ödemesi,420.13,ATM,ATM Çekimi,İzmir
2024,Ocak,10,2024-01-10,Fatura Ödemesi,72.47,Restoran,Kebapçı,İstanbul
2024,Ocak,2,2024-01-02,Alışveriş,332.89,ATM,ATM Çekimi,Ankara
2024,Ocak,9,2024-01-09,Fatura Ödemesi,309.49,Restoran,Cafe,Ankara
2024,Ocak,16,2024-01-16,Fatura Ödemesi,274.68,Ulaşım,Taksi,İstanbul
2024,Ocak,8,2024-01-08,ATM Çekimi,363.97,Restoran,Pizza,Ankara
2024,Ocak,10,2024-01-10,Ulaşım,374.59,Fatura Ödemesi,Elektrik,İstanbul
2024,Ocak,9,2024-01-09,ATM Çekimi,85.0,Fatura Ödemesi,İnternet,Ankara
2024,Ocak,6,2024-01-06,Restoran,487.84,ATM,ATM Çekimi,İstanbul
2024,Ocak,5,2024-01-05,Restoran,10.68,ATM,ATM Çekimi,Ankara
2024,Ocak,11,2024-01-11,Fatura Ödemesi,445.29,Fatura Ödemesi,İnternet,Ankara
2024,Ocak,7,2024-01-07,Restoran,329.0,ATM,ATM Çekimi,Ankara
2024,Ocak,9,2024-01-09,Alışveriş,147.32,ATM,ATM Çekimi,İstanbul
2024,Ocak,21,2024-01-21,ATM Çekimi,466.11,Market,BIM,İstanbul
2024,Ocak,24,2024-01-24,Ulaşım,317.61,Market,Migros,İzmir
2024,Ocak,11,2024-01-11,ATM Çekimi,230.89,ATM,ATM Çekimi,İstanbul
2024,Ocak,7,2024-01-07,Alışveriş,462.1,Market,Carrefour,İstanbul
2024,Ocak,8,2024-01-08,Fatura Ödemesi,48.34,Restoran,Cafe,Ankara
2024,Ocak,8,2024-01-08,Ulaşım,445.69,ATM,ATM Çekimi,İstanbul
2024,Ocak,6,2024-01-06,ATM Çekimi,250.76,ATM,ATM Çekimi,İzmir
2024,Ocak,14,2024-01-14,Fatura Ödemesi,207.65,Restoran,Cafe,İzmir
2024,Ocak,27,2024-01-27,Restoran,290.9,Market,Migros,İzmir
2024,Ocak,6,2024-01-06,Ulaşım,299.45,Fatura Ödemesi,Elektrik,Ankara
2024,Ocak,16,2024-01-16,ATM Çekimi,151.66,ATM,ATM Çekimi,İzmir
2024,Ocak,2,2024-01-02,ATM Çekimi,200.79,Restoran,Cafe,Ankara
2024,Ocak,7,2024-01-07,ATM Çekimi,425.72,Ulaşım,Taksi,İzmir
2024,Ocak,17,2024-01-17,Fatura Ödemesi,494.82,ATM,ATM Çekimi,Ankara
2024,Ocak,15,2024-01-15,Restoran,444.8,ATM,ATM Çekimi,İstanbul
2024,Ocak,31,2024-01-31,Restoran,387.15,Market,Migros,İzmir
2024,Ocak,18,2024-01-18,Restoran,274.4,Fatura Ödemesi,Su,Ankara
2024,Ocak,23,2024-01-23,Alışveriş,225.92,Ulaşım,Taksi,Ankara
2024,Ocak,22,2024-01-22,Fatura Ödemesi,200.89,Fatura Ödemesi,İnternet,İstanbul
2024,Ocak,3,2024-01-03,Fatura Ödemesi,57.8,ATM,ATM Çekimi,İzmir
2024,Ocak,25,2024-01-25,ATM Çekimi,118.54,Ulaşım,Taksi,İzmir
2024,Ocak,14,2024-01-14,Alışveriş,170.2,ATM,ATM Çekimi,İstanbul
2024,Ocak,11,2024-01-11,Restoran,391.85,Ulaşım,Taksi,İstanbul
2024,Ocak,4,2024-01-04,Ulaşım,466.49,ATM,ATM Çekimi,Ankara
2024,Ocak,26,2024-01-26,Restoran,23.45,ATM,ATM Çekimi,İzmir
2024,Ocak,14,2024-01-14,ATM Çekimi,430.11,ATM,ATM Çekimi,İstanbul
2024,Ocak,5,2024-01-05,Restoran,386.48,Market,Migros,İzmir
2024,Ocak,5,2024-01-05,Fatura Ödemesi,202.56,Market,BIM,İstanbul
2024,Ocak,6,2024-01-06,Alışveriş,245.39,ATM,ATM Çekimi,Ankara
2024,Ocak,13,2024-01-13,Alışveriş,19.7,Ulaşım,Otobüs,İstanbul
2024,Ocak,3,2024-01-03,Restoran,395.6,ATM,ATM Çekimi,İstanbul
2024,Ocak,3,2024-01-03,ATM Çekimi,84.1,Ulaşım,Tren,Ankara
2024,Ocak,20,2024-01-20,Ulaşım,345.46,Ulaşım,Taksi,İstanbul
2024,Ocak,28,2024-01-28,Restoran,257.43,Market,Carrefour,İzmir
2024,Ocak,3,2024-01-03,Fatura Ödemesi,272.93,Fatura Ödemesi,Elektrik,İzmir
2024,Ocak,2,2024-01-02,ATM Çekimi,324.54,Fatura Ödemesi,Su,İzmir
2024,Ocak,16,2024-01-16,Alışveriş,349.66,ATM,ATM Çekimi,İstanbul
2024,Ocak,28,2024-01-28,Alışveriş,445.25,Ulaşım,Taksi,İstanbul
2024,Ocak,26,2024-01-26,Alışveriş,33.65,Fatura Ödemesi,Su,İzmir
2024,Ocak,15,2024-01-15,ATM Çekimi,387.02,Ulaşım,Taksi,İstanbul
2024,Ocak,6,2024-01-06,Alışveriş,489.27,ATM,ATM Çekimi,İstanbul
2024,Ocak,12,2024-01-12,Alışveriş,72.02,Restoran,Kebapçı,Ankara
2024,Ocak,8,2024-01-08,ATM Çekimi,169.72,Fatura Ödemesi,İnternet,İzmir
2024,Ocak,17,2024-01-17,Fatura Ödemesi,349.89,Fatura Ödemesi,İnternet,İzmir
2024,Ocak,20,2024-01-20,Alışveriş,293.33,Fatura Ödemesi,Su,İzmir
2024,Ocak,31,2024-01-31,Restoran,51.73,Market,Carrefour,Ankara
2024,Ocak,21,2024-01-21,Alışveriş,106.34,Restoran,Kebapçı,İstanbul
2024,Ocak,24,2024-01-24,Alışveriş,283.14,Restoran,Kebapçı,Ankara
2024,Ocak,3,2024-01-03,Restoran,338.63,Market,BIM,İstanbul
2024,Ocak,22,2024-01-22,Ulaşım,320.35,Fatura Ödemesi,Su,İzmir
2024,Ocak,7,2024-01-07,ATM Çekimi,467.42,Restoran,Kebapçı,Ankara
2024,Ocak,21,2024-01-21,Fatura Ödemesi,487.88,Fatura Ödemesi,Su,İzmir
2024,Ocak,1,2024-01-01,ATM Çekimi,401.31,Market,BIM,Ankara
2024,Ocak,27,2024-01-27,Restoran,225.26,Ulaşım,Otobüs,İstanbul
2024,Ocak,22,2024-01-22,ATM Çekimi,51.93,Fatura Ödemesi,Elektrik,İzmir
2024,Ocak,4,2024-01-04,Fatura Ödemesi,95.41,Market,Migros,Ankara
2024,Ocak,17,2024-01-17,Ulaşım,474.26,Market,Migros,Ankara
2024,Ocak,15,2024-01-15,Alışveriş,477.42,Fatura Ödemesi,Elektrik,İstanbul
2024,Ocak,25,2024-01-25,Alışveriş,412.43,Fatura Ödemesi,İnternet,İzmir
2024,Ocak,30,2024-01-30,Fatura Ödemesi,158.67,Ulaşım,Taksi,Ankara
2024,Ocak,11,2024-01-11,ATM Çekimi,484.34,ATM,ATM Çekimi,İstanbul
2024,Ocak,3,2024-01-03,Fatura Ödemesi,434.15,ATM,ATM Çekimi,İstanbul
2024,Ocak,21,2024-01-21,Ulaşım,131.2,Market,Carrefour,İstanbul
2024,Ocak,3,2024-01-03,Fatura Ödemesi,270.72,Fatura Ödemesi,Su,İstanbul
2024,Ocak,28,2024-01-28,Fatura Ödemesi,234.52,Restoran,Kebapçı,Ankara
2024,Ocak,5,2024-01-05,ATM Çekimi,394.22,ATM,ATM Çekimi,Ankara
2024,Ocak,24,2024-01-24,Alışveriş,52.88,Market,Migros,İzmir
2024,Ocak,25,2024-01-25,Restoran,394.23,Market,Migros,İstanbul
2024,Ocak,25,2024-01-25,Fatura Ödemesi,21.9,ATM,ATM Çekimi,Ankara
2024,Ocak,30,2024-01-30,Restoran,335.92,Restoran,Pizza,Ankara
2024,Ocak,8,2024-01-08,Ulaşım,456.55,Market,Carrefour,İzmir
2024,Ocak,14,2024-01-14,ATM Çekimi,149.32,ATM,ATM Çekimi,Ankara
2024,Ocak,26,2024-01-26,ATM Çekimi,213.16,Ulaşım,Tren,İzmir
2024,Ocak,26,2024-01-26,ATM Çekimi,317.62,ATM,ATM Çekimi,İstanbul
2024,Ocak,21,2024-01-21,Restoran,196.04,ATM,ATM Çekimi,Ankara
2024,Ocak,16,2024-01-16,Ulaşım,347.12,Market,Carrefour,İstanbul
2024,Ocak,13,2024-01-13,ATM Çekimi,17.71,Fatura Ödemesi,Elektrik,İzmir
2024,Ocak,25,2024-01-25,ATM Çekimi,133.66,ATM,ATM Çekimi,İstanbul
2024,Ocak,10,2024-01-10,Fatura Ödemesi,95.77,Restoran,Pizza,İstanbul
2024,Ocak,9,2024-01-09,Fatura Ödemesi,381.66,Market,BIM,İzmir
2024,Ocak,28,2024-01-28,Ulaşım,110.44,Fatura Ödemesi,İnternet,İzmir
2024,Ocak,25,2024-01-25,Alışveriş,381.99,ATM,ATM Çekimi,Ankara
2024,Ocak,5,2024-01-05,Ulaşım,412.44,Ulaşım,Tren,İzmir
2024,Ocak,11,2024-01-11,Ulaşım,198.0,Restoran,Pizza,İstanbul
2024,Ocak,21,2024-01-21,Ulaşım,353.95,Restoran,Cafe,Ankara
2024,Ocak,26,2024-01-26,Fatura Ödemesi,471.46,ATM,ATM Çekimi,İstanbul
2024,Ocak,21,2024-01-21,Fatura Ödemesi,208.22,Restoran,Kebapçı,İzmir
2024,Ocak,3,2024-01-03,Restoran,292.43,Restoran,Cafe,İzmir
2024,Ocak,28,2024-01-28,Restoran,202.22,Ulaşım,Taksi,Ankara
2024,Ocak,20,2024-01-20,Alışveriş,165.32,Market,Carrefour,İstanbul
2024,Ocak,28,2024-01-28,Ulaşım,419.84,Restoran,Pizza,Ankara
2024,Ocak,10,2024-01-10,Ulaşım,380.81,Restoran,Cafe,Ankara
2024,Ocak,8,2024-01-08,Ulaşım,475.41,Fatura Ödemesi,Su,İstanbul
2024,Ocak,2,2024-01-02,Alışveriş,245.55,Ulaşım,Otobüs,İstanbul
2024,Ocak,24,2024-01-24,Ulaşım,104.11,Fatura Ödemesi,Elektrik,İzmir
2024,Ocak,1,2024-01-01,Restoran,422.94,ATM,ATM Çekimi,İzmir
2024,Ocak,3,2024-01-03,Ulaşım,90.5,Ulaşım,Tren,İstanbul
2024,Ocak,20,2024-01-20,Alışveriş,435.7,Fatura Ödemesi,Elektrik,İstanbul
2024,Ocak,29,2024-01-29,Alışveriş,141.89,ATM,ATM Çekimi,İzmir
2024,Ocak,19,2024-01-19,Ulaşım,41.96,ATM,ATM Çekimi,İzmir
2024,Ocak,4,2024-01-04,Ulaşım,197.4,Market,Carrefour,İzmir
2024,Ocak,31,2024-01-31,Alışveriş,229.92,Market,BIM,Ankara
2024,Ocak,11,2024-01-11,Ulaşım,11.82,Market,Carrefour,İzmir
2024,Ocak,25,2024-01-25,Alışveriş,117.17,Restoran,Pizza,Ankara
2024,Ocak,23,2024-01-23,ATM Çekimi,135.31,Ulaşım,Tren,İzmir
2024,Ocak,8,2024-01-08,Fatura Ödemesi,189.17,Ulaşım,Otobüs,Ankara
2024,Ocak,18,2024-01-18,Ulaşım,470.67,Market,BIM,İstanbul
2024,Ocak,31,2024-01-31,Fatura Ödemesi,461.74,Fatura Ödemesi,Elektrik,İstanbul
2024,Ocak,17,2024-01-17,Ulaşım,225.09,Ulaşım,Tren,İstanbul
2024,Ocak,18,2024-01-18,ATM Çekimi,499.38,Restoran,Cafe,Ankara
2024,Ocak,13,2024-01-13,ATM Çekimi,415.64,ATM,ATM Çekimi,Ankara
2024,Ocak,16,2024-01-16,Fatura Ödemesi,23.47,Restoran,Kebapçı,İstanbul
2024,Ocak,1,2024-01-01,Alışveriş,365.54,Restoran,Pizza,İzmir
2024,Ocak,20,2024-01-20,ATM Çekimi,286.79,ATM,ATM Çekimi,İzmir
2024,Ocak,13,2024-01-13,Alışveriş,281.29,ATM,ATM Çekimi,İzmir
2024,Ocak,21,2024-01-21,Ulaşım,151.64,ATM,ATM Çekimi,Ankara
2024,Ocak,7,2024-01-07,Ulaşım,480.07,ATM,ATM Çekimi,Ankara
2024,Ocak,25,2024-01-25,Fatura Ödemesi,379.91,ATM,ATM Çekimi,İstanbul
2024,Ocak,30,2024-01-30,ATM Çekimi,46.97,Restoran,Cafe,İstanbul
2024,Ocak,21,2024-01-21,Ulaşım,258.11,Ulaşım,Tren,Ankara
2024,Ocak,19,2024-01-19,Alışveriş,160.46,Market,Migros,İstanbul
2024,Ocak,30,2024-01-30,Fatura Ödemesi,365.35,Market,BIM,İstanbul
2024,Ocak,12,2024-01-12,Fatura Ödemesi,374.32,Restoran,Pizza,Ankara
2024,Ocak,31,2024-01-31,Alışveriş,438.03,Restoran,Pizza,İstanbul
2024,Ocak,28,2024-01-28,Restoran,306.64,Fatura Ödemesi,Elektrik,İstanbul
2024,Ocak,27,2024-01-27,Fatura Ödemesi,206.72,ATM,ATM Çekimi,İstanbul
2024,Ocak,15,2024-01-15,Ulaşım,255.01,Ulaşım,Otobüs,İstanbul
2024,Ocak,26,2024-01-26,Fatura Ödemesi,213.21,ATM,ATM Çekimi,İstanbul
2024,Ocak,21,2024-01-21,Alışveriş,46.68,Fatura Ödemesi,Su,İstanbul
2024,Ocak,21,2024-01-21,Fatura Ödemesi,176.81,Market,BIM,Ankara
2024,Ocak,20,2024-01-20,ATM Çekimi,254.81,Restoran,Kebapçı,Ankara
2024,Ocak,20,2024-01-20,Restoran,294.28,Fatura Ödemesi,İnternet,İzmir
2024,Ocak,8,2024-01-08,Restoran,213.26,Ulaşım,Otobüs,Ankara
2024,Ocak,14,2024-01-14,Alışveriş,271.53,Ulaşım,Tren,İstanbul
2024,Ocak,14,2024-01-14,Fatura Ödemesi,211.88,Fatura Ödemesi,Elektrik,Ankara
2024,Ocak,17,2024-01-17,Fatura Ödemesi,28.61,ATM,ATM Çekimi,Ankara
2024,Ocak,4,2024-01-04,Ulaşım,136.53,Restoran,Pizza,Ankara
2024,Ocak,31,2024-01-31,Alışveriş,487.15,Fatura Ödemesi,Elektrik,İstanbul
2024,Ocak,18,2024-01-18,ATM Çekimi,419.1,Market,BIM,Ankara
2024,Ocak,17,2024-01-17,Alışveriş,175.29,Fatura Ödemesi,Elektrik,Ankara
2024,Ocak,28,2024-01-28,Fatura Ödemesi,481.28,Market,Carrefour,İzmir
2024,Ocak,11,2024-01-11,Restoran,427.37,Ulaşım,Tren,İzmir
2024,Ocak,13,2024-01-13,Ulaşım,18.41,Fatura Ödemesi,Elektrik,Ankara
2024,Ocak,7,2024-01-07,ATM Çekimi,431.57,Restoran,Pizza,İzmir
2024,Ocak,2,2024-01-02,Ulaşım,33.99,ATM,ATM Çekimi,İstanbul
2024,Ocak,9,2024-01-09,Restoran,271.17,Market,Migros,İzmir
2024,Ocak,13,2024-01-13,Alışveriş,169.49,Ulaşım,Tren,İzmir
2024,Ocak,26,2024-01-26,ATM Çekimi,403.73,Restoran,Pizza,İzmir
2024,Ocak,17,2024-01-17,Alışveriş,382.26,Restoran,Pizza,İstanbul
2024,Ocak,31,2024-01-31,ATM Çekimi,209.53,ATM,ATM Çekimi,İzmir
2024,Ocak,7,2024-01-07,Alışveriş,469.88,ATM,ATM Çekimi,Ankara
2024,Ocak,20,2024-01-20,Restoran,323.45,Restoran,Kebapçı,İstanbul
2024,Ocak,30,2024-01-30,Restoran,437.33,Restoran,Pizza,Ankara
2024,Ocak,14,2024-01-14,ATM Çekimi,101.69,ATM,ATM Çekimi,İzmir
2024,Ocak,26,2024-01-26,Ulaşım,290.24,ATM,ATM Çekimi,İzmir
2024,Ocak,30,2024-01-30,Fatura Ödemesi,386.3,Market,BIM,Ankara
2024,Ocak,25,2024-01-25,Alışveriş,127.25,Restoran,Pizza,Ankara
2024,Ocak,13,2024-01-13,Fatura Ödemesi,179.16,Market,BIM,İstanbul
2024,Ocak,21,2024-01-21,Ulaşım,215.87,Market,Migros,Ankara
2024,Ocak,21,2024-01-21,Restoran,313.7,Restoran,Cafe,İzmir
2024,Ocak,26,2024-01-26,Fatura Ödemesi,445.16,Market,Carrefour,İzmir
2024,Ocak,7,2024-01-07,Fatura Ödemesi,396.16,Fatura Ödemesi,İnternet,Ankara
2024,Ocak,17,2024-01-17,ATM Çekimi,164.43,ATM,ATM Çekimi,İzmir
2024,Ocak,21,2024-01-21,Restoran,85.53,Restoran,Kebapçı,İzmir
2024,Ocak,21,2024-01-21,Restoran,387.72,Fatura Ödemesi,Su,Ankara
2024,Ocak,23,2024-01-23,Fatura Ödemesi,40.23,Restoran,Pizza,İzmir
2024,Ocak,14,2024-01-14,Restoran,242.57,Fatura Ödemesi,Elektrik,İzmir
2024,Ocak,4,2024-01-04,Fatura Ödemesi,175.02,Market,Migros,İstanbul
2024,Ocak,24,2024-01-24,Ulaşım,132.24,ATM,ATM Çekimi,İzmir
2024,Ocak,7,2024-01-07,Alışveriş,392.86,ATM,ATM Çekimi,Ankara
2024,Ocak,29,2024-01-29,Restoran,296.55,Ulaşım,Tren,İstanbul
2024,Ocak,19,2024-01-19,Restoran,61.96,Market,BIM,Ankara
2024,Ocak,12,2024-01-12,Ulaşım,29.44,Fatura Ödemesi,İnternet,İstanbul
2024,Ocak,25,2024-01-25,Ulaşım,295.24,Restoran,Cafe,İstanbul
2024,Ocak,13,2024-01-13,ATM Çekimi,287.84,Ulaşım,Otobüs,İstanbul
2024,Ocak,5,2024-01-05,ATM Çekimi,388.41,ATM,ATM Çekimi,Ankara
2024,Ocak,4,2024-01-04,Ulaşım,372.73,Market,Migros,İzmir
2024,Ocak,6,2024-01-06,Alışveriş,366.5,Fatura Ödemesi,Elektrik,İstanbul
2024,Ocak,9,2024-01-09,Fatura Ödemesi,414.72,Restoran,Kebapçı,İstanbul
2024,Ocak,23,2024-01-23,Alışveriş,462.19,Ulaşım,Otobüs,Ankara
2024,Ocak,7,2024-01-07,Alışveriş,69.37,Ulaşım,Taksi,Ankara
2024,Ocak,4,2024-01-04,ATM Çekimi,111.51,Restoran,Kebapçı,İzmir
2024,Ocak,7,2024-01-07,Alışveriş,485.22,Restoran,Kebapçı,İzmir
2024,Ocak,22,2024-01-22,Restoran,122.29,ATM,ATM Çekimi,Ankara
2024,Ocak,3,2024-01-03,Ulaşım,51.78,Fatura Ödemesi,Elektrik,Ankara
2024,Ocak,29,2024-01-29,Alışveriş,14.57,ATM,ATM Çekimi,İstanbul
2024,Ocak,23,2024-01-23,Ulaşım,227.72,Market,BIM,Ankara
2024,Ocak,3,2024-01-03,Ulaşım,91.34,Restoran,Cafe,İzmir
2024,Ocak,19,2024-01-19,Fatura Ödemesi,108.26,Restoran,Pizza,İstanbul
2024,Ocak,23,2024-01-23,Fatura Ödemesi,164.3,Market,Carrefour,İstanbul
2024,Ocak,26,2024-01-26,Ulaşım,388.01,ATM,ATM Çekimi,İzmir
2024,Ocak,13,2024-01-13,Ulaşım,178.35,ATM,ATM Çekimi,İzmir
2024,Ocak,30,2024-01-30,Fatura Ödemesi,314.72,ATM,ATM Çekimi,İzmir
2024,Ocak,9,2024-01-09,Fatura Ödemesi,396.25,Market,Migros,Ankara
2024,Ocak,10,2024-01-10,Fatura Ödemesi,173.4,Ulaşım,Taksi,İstanbul
2024,Ocak,15,2024-01-15,Fatura Ödemesi,96.44,Fatura Ödemesi,Elektrik,Ankara
2024,Ocak,17,2024-01-17,ATM Çekimi,413.49,Market,BIM,İstanbul
2024,Ocak,16,2024-01-16,Ulaşım,499.55,Ulaşım,Taksi,İzmir
2024,Ocak,5,2024-01-05,Alışveriş,236.7,Restoran,Cafe,İzmir
2024,Ocak,19,2024-01-19,Restoran,495.56,Restoran,Pizza,Ankara
2024,Ocak,10,2024-01-10,Restoran,284.0,Fatura Ödemesi,Elektrik,İzmir
2024,Ocak,30,2024-01-30,Alışveriş,201.31,Ulaşım,Tren,Ankara
2024,Ocak,21,2024-01-21,Fatura Ödemesi,158.1,Fatura Ödemesi,Su,Ankara
2024,Ocak,11,2024-01-11,Fatura Ödemesi,243.33,Restoran,Kebapçı,Ankara
2024,Ocak,5,2024-01-05,Restoran,64.51,Market,Carrefour,Ankara
2024,Ocak,5,2024-01-05,ATM Çekimi,147.53,Market,Carrefour,Ankara
2024,Ocak,6,2024-01-06,ATM Çekimi,11.15,Fatura Ödemesi,Su,Ankara
2024,Ocak,28,2024-01-28,Alışveriş,238.79,Market,Migros,Ankara
2024,Ocak,18,2024-01-18,ATM Çekimi,126.74,Market,Migros,İstanbul
2024,Ocak,15,2024-01-15,Ulaşım,423.42,Fatura Ödemesi,Elektrik,Ankara
2024,Ocak,22,2024-01-22,Ulaşım,435.04,Market,BIM,İstanbul
2024,Ocak,19,2024-01-19,Restoran,421.74,Market,Migros,Ankara
2024,Ocak,8,2024-01-08,Ulaşım,230.68,ATM,ATM Çekimi,İzmir
2024,Ocak,1,2024-01-01,Restoran,184.14,Restoran,Kebapçı,İstanbul
2024,Ocak,1,2024-01-01,Ulaşım,487.58,Restoran,Pizza,İstanbul
2024,Ocak,18,2024-01-18,Restoran,78.16,Fatura Ödemesi,İnternet,Ankara
2024,Ocak,7,2024-01-07,Ulaşım,200.66,Restoran,Cafe,İzmir
2024,Ocak,25,2024-01-25,Alışveriş,124.51,Ulaşım,Otobüs,Ankara
2024,Ocak,14,2024-01-14,Alışveriş,426.97,Ulaşım,Taksi,İzmir
2024,Ocak,23,2024-01-23,Restoran,489.59,ATM,ATM Çekimi,İzmir
2024,Ocak,20,2024-01-20,Ulaşım,160.09,Market,Carrefour,İstanbul
2024,Ocak,30,2024-01-30,Restoran,293.34,Market,BIM,Ankara
2024,Ocak,7,2024-01-07,Ulaşım,297.89,ATM,ATM Çekimi,İzmir
2024,Ocak,27,2024-01-27,Fatura Ödemesi,172.14,ATM,ATM Çekimi,İzmir
2024,Ocak,31,2024-01-31,ATM Çekimi,216.61,Market,Migros,İstanbul
2024,Ocak,19,2024-01-19,Restoran,11.13,Market,Migros,İstanbul
2024,Ocak,6,2024-01-06,Restoran,83.03,ATM,ATM Çekimi,İzmir
2024,Ocak,16,2024-01-16,Ulaşım,499.26,Market,Carrefour,İzmir
2024,Ocak,11,2024-01-11,Restoran,92.42,Fatura Ödemesi,İnternet,Ankara
2024,Ocak,25,2024-01-25,Fatura Ödemesi,410.23,Ulaşım,Otobüs,İzmir
2024,Ocak,15,2024-01-15,ATM Çekimi,251.47,Fatura Ödemesi,Su,Ankara
2024,Ocak,13,2024-01-13,Ulaşım,499.61,Ulaşım,Taksi,İstanbul
2024,Ocak,27,2024-01-27,Alışveriş,97.26,Ulaşım,Tren,İstanbul
2024,Ocak,24,2024-01-24,Alışveriş,346.64,Ulaşım,Taksi,Ankara
2024,Ocak,29,2024-01-29,Restoran,460.17,Ulaşım,Otobüs,İzmir
2024,Ocak,12,2024-01-12,Fatura Ödemesi,369.41,ATM,ATM Çekimi,İzmir
2024,Ocak,15,2024-01-15,Alışveriş,256.62,Market,Migros,İstanbul
2024,Ocak,16,2024-01-16,Restoran,393.63,Restoran,Cafe,İzmir
2024,Ocak,8,2024-01-08,Ulaşım,445.33,Restoran,Cafe,İzmir
2024,Ocak,19,2024-01-19,ATM Çekimi,178.06,Restoran,Cafe,İstanbul
2024,Ocak,9,2024-01-09,Ulaşım,471.49,Fatura Ödemesi,Su,Ankara
