Yıl,Ay,Gün,Tarih,Saat,İşlem Türü,Harcama Kategorisi,Şehir,Tutar
2023,Haziran,22,2023-06-22,12:28,Giyim,LC Waikiki,Ankara,806.28
2024,Ocak,9,2024-01-09,10:16,Giyim,H&M,İzmir,369.94
2022,Temmuz,6,2022-07-06,12:33,Restoran,Fast Food,Ankara,178.99
2022,Aralık,7,2022-12-07,12:26,Restoran,Kebap,İzmir,90.06
2023,Ekim,20,2023-10-19,16:19,Fatura,Su,Ankara,52.5
2024,Mart,14,2024-03-14,12:55,Restoran,Kebap,İstanbul,188.48
2022,Ağustos,17,2022-08-17,16:52,Giyim,Zara,İstanbul,987.57
2022,Eylül,10,2022-09-12,09:17,Fatura,Elektrik,Ankara,110.0
2022,Eylül,10,2022-09-17,01:35,Fatura,İnternet,İzmir,88.0
2024,Temmuz,27,2024-07-27,14:53,Restoran,Pizza,İstanbul,71.35
2022,Kasım,24,2022-11-24,12:11,Ulaşım,Otobüs,Ankara,441.62
2024,Mart,14,2024-03-14,12:51,Restoran,Fast Food,Ankara,49.11
2022,Ağustos,17,2022-08-17,14:34,Ulaşım,Otobüs,Ankara,281.52
2022,Nisan,5,2022-04-05,12:49,Giyim,H&M,İstanbul,557.18
2024,Ocak,13,2024-01-13,12:38,Restoran,Kebap,İstanbul,36.23
2022,Ekim,3,2022-10-03,01:52,Giyim,LC Waikiki,Ankara,277.41
2023,Aralık,1,2023-12-12,00:18,Fatura,Elektrik,İzmir,105.0
2024,Mart,3,2024-03-03,19:56,Ulaşım,Taksi,İstanbul,469.98
2024,Mart,23,2024-03-23,13:54,Restoran,Kebap,Ankara,37.97
2023,Ekim,20,2023-10-18,11:13,Fatura,İnternet,İstanbul,84.0
2022,Ekim,6,2022-10-06,13:23,Restoran,Kebap,İstanbul,56.57
2022,Haziran,1,2022-06-01,07:37,Fatura,Su,İzmir,55.0
2024,Nisan,24,2024-04-26,18:38,Fatura,Su,İzmir,50.0
2024,Ocak,5,2024-01-05,14:23,Restoran,Pizza,Ankara,127.07
2023,Ocak,22,2023-01-22,14:13,Restoran,Fast Food,İstanbul,120.35
2023,Nisan,5,2023-04-05,15:13,Giyim,Zara,İzmir,258.87
2024,Ocak,10,2024-01-10,10:38,Ulaşım,Otobüs,Ankara,491.03
2023,Şubat,23,2023-02-23,17:07,Ulaşım,Otobüs,İstanbul,315.9
2023,Aralık,1,2023-12-22,10:30,Fatura,Elektrik,Ankara,105.0
2022,Eylül,11,2022-09-11,16:32,Giyim,LC Waikiki,Ankara,972.05
2022,Mayıs,14,2022-05-27,04:36,Fatura,Su,Ankara,55.0
2022,Şubat,8,2022-02-08,02:05,Giyim,H&M,İzmir,473.03
2022,Eylül,13,2022-09-13,05:40,Giyim,Zara,Ankara,204.69
2023,Temmuz,8,2023-07-08,09:47,Giyim,LC Waikiki,İzmir,147.78
2023,Mayıs,10,2023-05-10,01:11,Ulaşım,Otobüs,İzmir,284.5
2024,Nisan,17,2024-04-17,13:36,Restoran,Fast Food,İstanbul,22.19
2023,Haziran,10,2023-06-10,13:01,Ulaşım,Benzin,İzmir,243.06
2022,Temmuz,12,2022-07-07,00:31,Fatura,İnternet,İstanbul,88.0
2022,Ocak,25,2022-01-02,02:02,Fatura,Su,Ankara,55.0
2024,Ocak,21,2024-01-21,12:01,Restoran,Fast Food,İstanbul,180.86
2023,Ocak,9,2023-01-24,22:01,Fatura,Su,İzmir,52.5
2022,Mart,1,2022-03-01,13:35,Ulaşım,Benzin,Ankara,251.84
2024,Haziran,2,2024-06-02,16:44,Giyim,H&M,İstanbul,255.37
2022,Kasım,13,2022-11-03,18:39,Fatura,Su,Ankara,55.0
2022,Şubat,6,2022-02-11,05:00,Fatura,İnternet,Ankara,88.0
2022,Ekim,25,2022-10-23,08:27,Fatura,Su,İzmir,55.0
2024,Nisan,1,2024-04-01,07:33,Giyim,H&M,İstanbul,565.83
2022,Ocak,17,2022-01-17,13:29,Restoran,Kebap,İzmir,89.62
2024,Mayıs,7,2024-05-01,08:49,Fatura,İnternet,İstanbul,80.0
2023,Ekim,11,2023-10-11,11:46,Ulaşım,Benzin,İstanbul,255.93
2024,Ocak,26,2024-01-26,03:38,Giyim,Zara,Ankara,482.82
2023,Şubat,17,2023-02-17,13:47,Restoran,Kebap,İzmir,58.27
2023,Şubat,16,2023-02-16,07:40,Giyim,H&M,Ankara,477.34
2024,Mayıs,24,2024-05-24,13:41,Ulaşım,Benzin,Ankara,84.47
2023,Eylül,17,2023-09-17,14:48,Restoran,Kebap,İstanbul,198.92
2024,Mart,16,2024-03-25,06:52,Fatura,İnternet,İstanbul,80.0
2022,Ekim,20,2022-10-20,12:28,Ulaşım,Benzin,İstanbul,352.71
2023,Kasım,11,2023-11-11,13:04,Restoran,Kebap,İstanbul,139.19
2024,Mart,22,2024-03-22,14:01,Restoran,Kebap,Ankara,31.82
2024,Temmuz,27,2024-07-27,12:22,Restoran,Fast Food,İstanbul,50.78
2024,Şubat,9,2024-02-09,16:00,Ulaşım,Otobüs,İstanbul,218.38
2024,Şubat,3,2024-02-03,13:21,Restoran,Kebap,İzmir,187.52
2024,Mart,13,2024-03-13,11:00,Ulaşım,Benzin,Ankara,346.6
2022,Ekim,19,2022-10-19,23:13,Ulaşım,Taksi,Ankara,120.95
2024,Temmuz,5,2024-07-05,04:39,Ulaşım,Taksi,Ankara,354.96
2024,Şubat,27,2024-02-20,02:55,Fatura,Elektrik,Ankara,100.0
2022,Temmuz,22,2022-07-22,10:46,Ulaşım,Otobüs,İzmir,209.02
2023,Kasım,4,2023-11-04,13:22,Restoran,Kebap,İzmir,109.77
2023,Haziran,24,2023-06-24,22:10,Giyim,LC Waikiki,İstanbul,852.97
2022,Mayıs,21,2022-05-21,08:17,Giyim,LC Waikiki,İstanbul,334.57
2022,Temmuz,12,2022-07-23,17:31,Fatura,İnternet,Ankara,88.0
2023,Ekim,27,2023-10-27,13:14,Restoran,Fast Food,İzmir,46.71
2024,Ocak,20,2024-01-20,14:12,Restoran,Pizza,İzmir,23.71
2022,Temmuz,7,2022-07-07,11:35,Giyim,Zara,İzmir,971.9
2022,Ocak,25,2022-01-09,18:56,Fatura,Elektrik,İstanbul,110.0
2022,Ağustos,13,2022-08-13,21:14,Fatura,İnternet,Ankara,88.0
2024,Ocak,28,2024-01-28,22:47,Ulaşım,Otobüs,İstanbul,112.01
2024,Mart,8,2024-03-08,02:48,Giyim,LC Waikiki,Ankara,639.31
2024,Nisan,5,2024-04-05,02:29,Giyim,Zara,İzmir,810.14
2024,Temmuz,5,2024-07-05,13:17,Restoran,Pizza,Ankara,91.52
2022,Mart,1,2022-03-01,12:18,Restoran,Fast Food,İzmir,126.83
2023,Mayıs,7,2023-05-10,04:34,Fatura,Elektrik,İstanbul,105.0
2022,Ağustos,13,2022-08-18,16:47,Fatura,Elektrik,Ankara,110.0
2024,Haziran,24,2024-06-11,08:48,Fatura,Elektrik,İzmir,100.0
2024,Temmuz,7,2024-07-07,13:32,Restoran,Fast Food,İzmir,29.12
2024,Ocak,2,2024-01-02,12:54,Ulaşım,Benzin,İzmir,469.28
2023,Temmuz,3,2023-07-03,10:42,Giyim,Zara,İzmir,693.99
2022,Ağustos,17,2022-08-17,13:11,Ulaşım,Benzin,İstanbul,152.84
2022,Mart,17,2022-03-17,12:35,Ulaşım,Benzin,Ankara,370.21
2023,Şubat,14,2023-02-03,22:22,Fatura,İnternet,Ankara,84.0
2022,Temmuz,12,2022-07-24,23:02,Fatura,İnternet,İstanbul,88.0
2022,Aralık,13,2022-12-13,14:27,Restoran,Pizza,İstanbul,185.4
2024,Mayıs,28,2024-05-28,03:55,Giyim,Zara,İzmir,591.93
2022,Haziran,7,2022-06-07,09:04,Giyim,Zara,Ankara,775.4
2023,Kasım,4,2023-11-04,14:49,Restoran,Fast Food,İzmir,95.7
2022,Nisan,18,2022-04-18,08:41,Ulaşım,Otobüs,İstanbul,308.53
2024,Temmuz,2,2024-07-02,18:19,Ulaşım,Taksi,İstanbul,332.56
2024,Haziran,15,2024-06-15,13:48,Restoran,Fast Food,Ankara,194.28
2024,Mart,16,2024-03-04,11:19,Fatura,İnternet,İzmir,80.0
2023,Mart,25,2023-03-25,07:25,Giyim,Zara,Ankara,508.05
2022,Ekim,14,2022-10-14,08:17,Giyim,H&M,İzmir,769.32
2024,Nisan,8,2024-04-08,17:56,Ulaşım,Otobüs,İstanbul,292.5
2023,Mayıs,7,2023-05-05,10:34,Fatura,Elektrik,Ankara,105.0
2023,Mayıs,7,2023-05-14,08:43,Fatura,Elektrik,Ankara,105.0
2023,Mart,11,2023-03-11,01:28,Giyim,H&M,İzmir,402.82
2022,Kasım,2,2022-11-02,12:27,Restoran,Fast Food,İzmir,24.37
2024,Şubat,24,2024-02-24,06:22,Ulaşım,Taksi,Ankara,59.71
2024,Mayıs,17,2024-05-17,13:47,Restoran,Kebap,İzmir,20.73
2023,Kasım,6,2023-11-06,13:53,Restoran,Pizza,İstanbul,168.75
2023,Mart,26,2023-03-28,23:27,Fatura,İnternet,Ankara,84.0
2022,Eylül,10,2022-09-26,01:37,Fatura,Su,Ankara,55.0
2023,Aralık,6,2023-12-06,03:18,Giyim,H&M,İstanbul,913.7
2023,Haziran,3,2023-06-03,14:59,Restoran,Pizza,İstanbul,84.45
2023,Kasım,7,2023-11-07,06:26,Ulaşım,Otobüs,İzmir,16.27
2024,Nisan,24,2024-04-20,21:19,Fatura,İnternet,İstanbul,80.0
2023,Haziran,24,2023-06-24,05:12,Giyim,Zara,İstanbul,65.66
2023,Haziran,20,2023-06-20,23:21,Giyim,Zara,Ankara,288.55
2022,Aralık,13,2022-12-13,12:31,Restoran,Kebap,Ankara,67.5
2023,Eylül,20,2023-09-20,14:28,Ulaşım,Otobüs,İstanbul,266.05
2023,Temmuz,5,2023-07-05,04:42,Ulaşım,Otobüs,İstanbul,449.62
2024,Şubat,11,2024-02-11,06:03,Ulaşım,Taksi,İzmir,454.45
2023,Mayıs,12,2023-05-12,12:21,Restoran,Kebap,Ankara,178.12
2024,Nisan,24,2024-04-20,04:50,Fatura,Elektrik,İstanbul,100.0
2023,Şubat,18,2023-02-18,13:56,Giyim,LC Waikiki,İstanbul,910.52
2024,Mayıs,9,2024-05-09,15:40,Giyim,Zara,İstanbul,116.31
2023,Ekim,4,2023-10-04,08:26,Giyim,LC Waikiki,Ankara,608.47
2022,Eylül,2,2022-09-02,14:55,Giyim,Zara,Ankara,143.45
2024,Şubat,27,2024-02-16,17:43,Fatura,İnternet,İstanbul,80.0
2024,Nisan,21,2024-04-21,06:32,Ulaşım,Taksi,İstanbul,28.73
2022,Ekim,9,2022-10-09,02:02,Ulaşım,Taksi,Ankara,399.83
2022,Mart,11,2022-03-11,12:27,Ulaşım,Benzin,İstanbul,355.76
2022,Nisan,3,2022-04-03,18:02,Giyim,LC Waikiki,Ankara,397.97
2024,Mayıs,7,2024-05-27,21:10,Fatura,İnternet,İstanbul,80.0
2023,Ocak,18,2023-01-18,07:01,Giyim,Zara,İzmir,271.33
2023,Nisan,25,2023-04-26,15:46,Fatura,Su,İstanbul,52.5
2022,Mart,8,2022-03-08,12:55,Ulaşım,Benzin,İzmir,235.03
2024,Nisan,24,2024-04-24,17:24,Ulaşım,Taksi,İzmir,319.37
2024,Şubat,26,2024-02-26,12:02,Ulaşım,Otobüs,Ankara,93.43
2022,Nisan,11,2022-04-11,13:10,Restoran,Fast Food,İzmir,30.02
2022,Nisan,9,2022-04-09,12:54,Restoran,Fast Food,İzmir,183.02
2024,Ocak,9,2024-01-09,14:55,Giyim,Zara,İzmir,847.57
2024,Temmuz,10,2024-07-10,13:47,Restoran,Kebap,İstanbul,94.96
2022,Temmuz,12,2022-07-22,20:49,Fatura,Su,Ankara,55.0
2022,Haziran,14,2022-06-14,11:36,Ulaşım,Benzin,İzmir,327.12
2023,Mayıs,21,2023-05-21,03:05,Giyim,H&M,İzmir,291.93
2024,Temmuz,24,2024-07-24,20:48,Ulaşım,Taksi,İzmir,117.35
2024,Haziran,1,2024-06-01,12:17,Restoran,Pizza,İzmir,180.43
2023,Nisan,17,2023-04-17,18:50,Giyim,H&M,İstanbul,529.7
2022,Ocak,25,2022-01-08,17:44,Fatura,Elektrik,İzmir,110.0
2024,Şubat,21,2024-02-21,12:42,Ulaşım,Benzin,Ankara,152.87
2022,Ekim,23,2022-10-23,21:48,Giyim,Zara,İzmir,156.8
2022,Şubat,6,2022-02-18,00:25,Fatura,İnternet,Ankara,88.0
2024,Haziran,24,2024-06-08,18:01,Fatura,Elektrik,İzmir,100.0
2023,Eylül,2,2023-09-02,12:50,Restoran,Pizza,İstanbul,163.91
2022,Eylül,10,2022-09-11,20:21,Fatura,Elektrik,İzmir,110.0
2023,Aralık,28,2023-12-28,13:25,Ulaşım,Benzin,Ankara,445.95
2024,Mart,10,2024-03-10,23:43,Ulaşım,Taksi,İstanbul,266.33
2023,Aralık,1,2023-12-13,05:39,Fatura,Elektrik,İstanbul,105.0
2023,Eylül,13,2023-09-13,02:06,Giyim,Zara,İzmir,355.47
2023,Şubat,14,2023-02-22,05:15,Fatura,İnternet,İstanbul,84.0
2023,Eylül,11,2023-09-15,10:43,Fatura,İnternet,İstanbul,84.0
2023,Nisan,17,2023-04-17,02:55,Giyim,Zara,Ankara,165.48
2024,Şubat,28,2024-02-28,16:12,Ulaşım,Otobüs,Ankara,160.0
2023,Şubat,5,2023-02-05,13:17,Restoran,Kebap,Ankara,91.29
2023,Eylül,20,2023-09-20,10:47,Giyim,H&M,Ankara,883.6
2023,Kasım,1,2023-11-01,14:00,Giyim,Zara,İstanbul,291.51
2023,Ağustos,16,2023-08-16,14:19,Giyim,LC Waikiki,Ankara,196.61
2024,Şubat,2,2024-02-02,11:40,Ulaşım,Benzin,Ankara,275.52
2024,Nisan,17,2024-04-17,09:31,Giyim,H&M,Ankara,323.76
2024,Mart,16,2024-03-12,23:48,Fatura,İnternet,İstanbul,80.0
2023,Ekim,9,2023-10-09,13:48,Restoran,Pizza,İzmir,197.79
2022,Haziran,1,2022-06-20,08:19,Fatura,İnternet,İzmir,88.0
2024,Nisan,15,2024-04-15,12:55,Ulaşım,Otobüs,İstanbul,79.22
2022,Aralık,6,2022-12-06,07:31,Giyim,H&M,İstanbul,609.95
2022,Haziran,22,2022-06-22,23:39,Giyim,H&M,İstanbul,309.12
2023,Şubat,21,2023-02-21,22:50,Ulaşım,Taksi,İzmir,325.98
2024,Ocak,16,2024-01-16,13:09,Ulaşım,Taksi,Ankara,38.1
2024,Haziran,19,2024-06-19,09:36,Ulaşım,Otobüs,Ankara,422.93
2024,Temmuz,8,2024-07-02,06:39,Fatura,Su,İzmir,50.0
2023,Ocak,9,2023-01-02,18:40,Fatura,İnternet,İzmir,84.0
2023,Aralık,11,2023-12-11,14:31,Restoran,Kebap,İzmir,179.47
2022,Şubat,17,2022-02-17,14:03,Restoran,Fast Food,İzmir,26.33
2024,Haziran,27,2024-06-27,12:52,Restoran,Fast Food,Ankara,53.32
2023,Haziran,15,2023-06-15,12:30,Restoran,Pizza,İzmir,40.32
2023,Ekim,20,2023-10-26,21:19,Fatura,İnternet,Ankara,84.0
2024,Nisan,17,2024-04-17,13:53,Ulaşım,Benzin,İstanbul,189.45
2022,Kasım,13,2022-11-21,14:32,Fatura,Elektrik,Ankara,110.0
2022,Haziran,9,2022-06-09,09:19,Ulaşım,Otobüs,Ankara,263.49
2023,Aralık,2,2023-12-02,19:40,Ulaşım,Otobüs,Ankara,28.55
2022,Haziran,28,2022-06-28,09:17,Giyim,Zara,Ankara,245.85
2024,Ocak,21,2024-01-21,17:25,Ulaşım,Taksi,İstanbul,56.9
2022,Şubat,27,2022-02-27,23:32,Ulaşım,Otobüs,İstanbul,420.75
2023,Temmuz,13,2023-07-13,14:46,Restoran,Pizza,İstanbul,124.63
2023,Şubat,4,2023-02-04,12:48,Restoran,Kebap,İzmir,94.29
2023,Şubat,1,2023-02-01,06:52,Ulaşım,Taksi,İzmir,25.12
2022,Aralık,19,2022-12-19,13:36,Restoran,Pizza,Ankara,143.85
2023,Kasım,19,2023-11-19,06:07,Giyim,H&M,Ankara,773.9
2024,Ocak,13,2024-01-13,13:06,Restoran,Kebap,İstanbul,33.58
2023,Ekim,28,2023-10-28,14:02,Restoran,Kebap,İzmir,106.7
2023,Nisan,28,2023-04-28,13:57,Restoran,Fast Food,İzmir,198.53
2023,Eylül,11,2023-09-18,01:45,Fatura,Su,İzmir,52.5
2022,Kasım,7,2022-11-07,13:05,Restoran,Pizza,İstanbul,177.07
2023,Ağustos,20,2023-08-20,02:29,Ulaşım,Otobüs,İstanbul,492.01
2023,Ocak,8,2023-01-08,13:11,Restoran,Pizza,İzmir,169.52
2023,Ekim,27,2023-10-27,13:49,Restoran,Fast Food,İstanbul,112.01
2024,Temmuz,14,2024-07-14,20:15,Ulaşım,Otobüs,Ankara,74.08
2023,Nisan,3,2023-04-03,04:03,Giyim,LC Waikiki,İstanbul,397.73
2024,Nisan,10,2024-04-10,12:44,Restoran,Fast Food,Ankara,171.96
2024,Haziran,2,2024-06-02,12:41,Ulaşım,Benzin,Ankara,293.53
2023,Nisan,10,2023-04-10,11:10,Ulaşım,Taksi,İzmir,157.52
2023,Şubat,17,2023-02-17,18:24,Giyim,Zara,Ankara,911.1
2023,Temmuz,18,2023-07-18,01:56,Ulaşım,Taksi,Ankara,472.07
2024,Mart,14,2024-03-14,13:07,Restoran,Kebap,İstanbul,99.27
2023,Nisan,17,2023-04-17,13:01,Giyim,Zara,İzmir,253.43
2023,Ekim,3,2023-10-03,20:42,Giyim,Zara,Ankara,577.52
2023,Mayıs,24,2023-05-24,14:57,Restoran,Fast Food,Ankara,165.67
2024,Şubat,18,2024-02-18,05:58,Giyim,LC Waikiki,İstanbul,359.38
2022,Nisan,4,2022-04-04,19:34,Giyim,LC Waikiki,İzmir,455.52
2022,Mart,24,2022-03-24,12:07,Restoran,Fast Food,İzmir,172.24
2022,Aralık,14,2022-12-14,14:49,Restoran,Pizza,Ankara,40.04
2024,Ocak,6,2024-01-06,00:40,Giyim,LC Waikiki,İstanbul,733.43
2024,Temmuz,8,2024-07-25,23:39,Fatura,Elektrik,İstanbul,100.0
2023,Şubat,14,2023-02-01,18:40,Fatura,İnternet,Ankara,84.0
2023,Şubat,23,2023-02-23,19:35,Giyim,LC Waikiki,İzmir,245.44
2022,Eylül,19,2022-09-19,13:39,Ulaşım,Benzin,İzmir,204.06
2024,Mayıs,7,2024-05-08,17:23,Fatura,Su,Ankara,50.0
2023,Aralık,1,2023-12-04,08:57,Fatura,İnternet,İzmir,84.0
2023,Ağustos,8,2023-08-08,04:18,Ulaşım,Taksi,İstanbul,495.38
2024,Temmuz,8,2024-07-21,19:21,Fatura,İnternet,İstanbul,80.0
2023,Mayıs,17,2023-05-17,07:16,Giyim,LC Waikiki,Ankara,439.39
2023,Aralık,1,2023-12-17,09:59,Fatura,Elektrik,İzmir,105.0
2022,Aralık,16,2022-12-27,08:45,Fatura,Su,İzmir,55.0
2023,Eylül,11,2023-09-27,14:52,Fatura,Su,İstanbul,52.5
2022,Şubat,17,2022-02-17,14:58,Restoran,Pizza,Ankara,126.07
2024,Şubat,27,2024-02-08,08:23,Fatura,İnternet,Ankara,80.0
2022,Mayıs,2,2022-05-02,22:36,Giyim,H&M,İzmir,193.69
2024,Mayıs,20,2024-05-20,13:56,Restoran,Fast Food,İstanbul,180.64
2022,Ocak,3,2022-01-03,13:07,Restoran,Kebap,İzmir,193.54
2024,Nisan,2,2024-04-02,17:52,Ulaşım,Otobüs,İstanbul,424.4
2023,Kasım,2,2023-11-02,13:14,Giyim,Zara,İzmir,278.76
2024,Ocak,11,2024-01-11,12:26,Restoran,Kebap,Ankara,88.89
2022,Şubat,5,2022-02-05,14:50,Restoran,Pizza,İzmir,31.41
2022,Şubat,17,2022-02-17,11:25,Ulaşım,Benzin,Ankara,86.84
2024,Şubat,6,2024-02-06,14:53,Restoran,Kebap,İstanbul,139.23
2023,Mayıs,9,2023-05-09,18:27,Giyim,Zara,İzmir,960.95
2022,Kasım,13,2022-11-11,13:57,Fatura,Su,İstanbul,55.0
2022,Ağustos,11,2022-08-11,00:08,Ulaşım,Taksi,Ankara,108.82
2023,Şubat,14,2023-02-07,10:25,Fatura,Su,İstanbul,52.5
2023,Aralık,1,2023-12-23,23:40,Fatura,Elektrik,İstanbul,105.0
2023,Temmuz,21,2023-07-07,11:57,Fatura,Elektrik,İstanbul,105.0
2024,Şubat,27,2024-02-25,14:58,Fatura,Elektrik,İstanbul,100.0
2024,Mayıs,20,2024-05-20,14:48,Restoran,Fast Food,İstanbul,130.18
2024,Nisan,24,2024-04-08,20:20,Fatura,Elektrik,İzmir,100.0
2024,Nisan,1,2024-04-01,13:02,Restoran,Pizza,İstanbul,61.47
2023,Şubat,3,2023-02-03,13:42,Ulaşım,Benzin,Ankara,290.35
2024,Mayıs,11,2024-05-11,12:53,Restoran,Pizza,Ankara,90.91
2023,Ocak,7,2023-01-07,05:52,Giyim,H&M,İzmir,739.17
2024,Şubat,15,2024-02-15,12:55,Restoran,Kebap,Ankara,155.34
2023,Eylül,18,2023-09-18,01:16,Ulaşım,Taksi,İzmir,56.3
2022,Ocak,18,2022-01-18,08:03,Giyim,LC Waikiki,Ankara,289.85
2023,Ocak,25,2023-01-25,11:42,Ulaşım,Benzin,İzmir,75.59
2023,Ocak,14,2023-01-14,13:57,Restoran,Fast Food,İzmir,103.6
2022,Ekim,23,2022-10-23,12:47,Restoran,Pizza,İstanbul,155.67
2023,Ağustos,25,2023-08-21,20:28,Fatura,İnternet,İzmir,84.0
2024,Temmuz,2,2024-07-02,12:32,Restoran,Pizza,İzmir,51.74
2022,Ocak,20,2022-01-20,02:08,Ulaşım,Otobüs,Ankara,140.86
2023,Haziran,15,2023-06-15,16:54,Giyim,H&M,İzmir,406.65
2022,Mayıs,14,2022-05-19,06:56,Fatura,Su,Ankara,55.0
2022,Eylül,10,2022-09-14,06:20,Fatura,Su,Ankara,55.0
2022,Aralık,12,2022-12-12,17:22,Ulaşım,Taksi,İzmir,273.75
2022,Şubat,6,2022-02-28,23:01,Fatura,İnternet,İzmir,88.0
2024,Nisan,18,2024-04-18,13:48,Restoran,Kebap,Ankara,87.56
2023,Nisan,25,2023-04-15,20:23,Fatura,Su,İstanbul,52.5
2022,Kasım,11,2022-11-11,03:06,Ulaşım,Taksi,Ankara,315.79
2023,Kasım,21,2023-11-21,13:48,Restoran,Pizza,Ankara,186.36
2022,Eylül,10,2022-09-14,09:57,Fatura,Elektrik,İstanbul,110.0
2022,Eylül,22,2022-09-22,20:51,Ulaşım,Otobüs,Ankara,113.56
2023,Eylül,19,2023-09-19,03:43,Giyim,H&M,İzmir,475.61
2024,Temmuz,16,2024-07-16,13:16,Restoran,Fast Food,İstanbul,123.36
2023,Temmuz,18,2023-07-18,13:36,Restoran,Kebap,İzmir,177.12
2024,Mart,3,2024-03-03,22:21,Giyim,Zara,Ankara,408.31
2023,Ocak,26,2023-01-26,02:17,Giyim,Zara,Ankara,719.74
2024,Mart,16,2024-03-15,12:55,Fatura,İnternet,İstanbul,80.0
2024,Haziran,5,2024-06-05,14:02,Ulaşım,Taksi,İstanbul,393.64
2023,Nisan,26,2023-04-26,11:05,Ulaşım,Benzin,İstanbul,134.96
2024,Haziran,9,2024-06-09,14:16,Restoran,Kebap,Ankara,131.19
2022,Nisan,28,2022-04-20,08:55,Fatura,Su,İstanbul,55.0
2023,Nisan,25,2023-04-16,22:14,Fatura,İnternet,İzmir,84.0
2024,Mayıs,15,2024-05-15,12:45,Restoran,Kebap,İstanbul,68.94
2023,Aralık,3,2023-12-03,11:43,Ulaşım,Taksi,İzmir,390.21
2023,Nisan,24,2023-04-24,13:36,Ulaşım,Taksi,İstanbul,250.37
2024,Nisan,9,2024-04-09,12:57,Restoran,Fast Food,Ankara,93.77
2023,Şubat,3,2023-02-03,06:34,Giyim,Zara,İstanbul,447.37
2024,Mayıs,9,2024-05-09,23:59,Giyim,LC Waikiki,İzmir,513.78
2024,Mart,1,2024-03-01,18:12,Giyim,H&M,Ankara,238.04
2024,Haziran,22,2024-06-22,02:17,Giyim,Zara,İstanbul,838.15
2022,Kasım,4,2022-11-04,07:56,Giyim,LC Waikiki,İzmir,997.22
2024,Temmuz,28,2024-07-28,13:07,Restoran,Pizza,İstanbul,78.86
2023,Nisan,26,2023-04-26,12:28,Restoran,Fast Food,İstanbul,199.15
2023,Ekim,6,2023-10-06,21:35,Giyim,H&M,İstanbul,413.03
2023,Kasım,17,2023-11-17,12:27,Restoran,Kebap,İstanbul,157.35
2023,Mayıs,26,2023-05-26,13:15,Giyim,H&M,İstanbul,883.11
2023,Mayıs,22,2023-05-22,00:00,Giyim,LC Waikiki,İstanbul,719.15
2022,Şubat,6,2022-02-18,15:52,Fatura,Elektrik,Ankara,110.0
2022,Mart,16,2022-03-16,13:19,Ulaşım,Benzin,Ankara,372.04
2022,Nisan,24,2022-04-24,12:28,Restoran,Fast Food,İstanbul,174.37
2023,Ağustos,25,2023-08-07,08:01,Fatura,Elektrik,İstanbul,105.0
2023,Ağustos,22,2023-08-22,14:13,Restoran,Fast Food,İzmir,185.65
2022,Ağustos,13,2022-08-20,16:34,Fatura,İnternet,İstanbul,88.0
2024,Mayıs,22,2024-05-22,20:11,Ulaşım,Taksi,İzmir,125.18
2022,Şubat,7,2022-02-07,14:01,Restoran,Pizza,İstanbul,199.95
2023,Nisan,15,2023-04-15,11:29,Ulaşım,Benzin,Ankara,22.05
2022,Nisan,28,2022-04-28,13:43,Giyim,LC Waikiki,Ankara,273.97
2022,Eylül,14,2022-09-14,12:13,Restoran,Pizza,İstanbul,35.67
2024,Temmuz,6,2024-07-06,13:55,Restoran,Kebap,İstanbul,66.31
